names;tag
01.38 Vincent Van Peteghem, ministre;NAME
06.03 Marijke Dillen (VB);NAME
01.23 Jean-Luc Crucke (Les En- gagés);NAME
02.02 Minister Paul Van Tigchelt;NAME
01.11 Sophie De Wit (N-VA);NAME
Denis Ducarme, voorzitter;NAME
16.06 Sophie De Wit (N-VA);NAME
03.02 Minister Paul Van Tigchelt;NAME
07.01 Sofie Merckx (PVDA-PTB);NAME
05.02 Minister Tinne Van der Straeten;NAME
01.08 Sarah Schlitz (Ecolo-Groen);NAME
04.01 Alexander Van Hoecke (VB);NAME
Voorzitter;NAME
01.27 Nathalie Muylle (cd&v);NAME
01.05 Anja Vanrobaeys (Vooruit);NAME
03.03 Raoul Hedebouw (PVDA-PTB);NAME
03.02 Eerste minister Alexander De Croo;NAME
Bert Wollants (N-VA);NAME
(Vooruit);NAME
01.15 François De Smet (DéFI);NAME
01.30 Vincent Van Quickenborne (Open VId);NAME
06.05 Axel Ronse (N-VA);NAME
02.03 Stefaan Van Hecke (Ecolo-Groen);NAME
01.02 Marijke Dillen (VB);NAME
06.02 Minister Tinne Van der Straeten;NAME
01.02 Dimitri Legasse (PS);NAME
02.01 Stefaan Van Hecke (Ecolo-Groen);NAME
01.45 Nabil Boukili (PVDA-PTB);NAME
01.03 Farah Jacquet (PVDA-PTB);NAME
01.01 Dorien Cuylaerts (N-VA);NAME
11.03 Francesca Van Belleghem (VB);NAME
01.50 Vincent Van Quicken- borne (Open Vld);NAME
10.04 Minister Paul Van Tigchelt;NAME
08.03 Kjell Vander Elst (Open Vld);NAME
01.28 Meyrem Almaci (Ecolo- Groen);NAME
01.18 Vincent Van Peteghem, ministre;NAME
04.02 Bert Wollants (N-VA);NAME
03.09 Minister Tinne Van der Straeten;NAME
01.12 Wouter Raskin (N-VA);NAME
16.07 Nabil Boukili (PVDA-PTB);NAME
16.04 Wouter Vermeersch (VB);NAME
01.34 Vincent Van Quickenborne (Open Vld);NAME
01.02 Minister Tinne Van der Straeten;NAME
Mevrouw de staatssecretaris, u bent wanhopig op zoek naar extra opvangplaatsen voor asielzoekers. Eerst ging u bedelen bij de lokale besturen, dan bij de jeugdcentra en u bent zelfs bij kazernes geweest. Ik geloof dat er zelfs asielzoekers worden opgevangen op campings. Er was slechts één rode lijn voor cd&v, namelijk asielzoekers opvangen in hotels. Ik citeer cd&v-voorzitter Sammy Mahdi;NAME
01.12 Minister Paul Van Tigchelt;NAME
01.08 Dieter Vanbesien (Ecolo-Groen);NAME
01.10 Marijke Dillen (VB);NAME
01.37 Pierre-Yves Dermagne, ministre;NAME
01.13 Axel Ronse (N-VA);NAME
05.01 Pierre-Yves Dermagne, ministre;NAME
02.04 Minister Tinne Van der Straeten;NAME
09.03 Vincent Van Quickenborne (Open Vld);NAME
06.21 Khalil Aouasti (PS);NAME
01.17 Bert Wollants (N-VA);NAME
08.01 Marijke Dillen (VB);NAME
03.05 Minister Tinne Van der Straeten;NAME
